Player,Offense,Defense,Ovr,Season
Nikola Jokic,7.61,2.18,9.79,2024
Shai Gilgeous-Alexander,7.46,1.02,8.49,2024
Joel Embiid,5.78,2.62,8.4,2024
Luka Doncic,7.41,0.68,8.08,2024
Paul George,5.05,2.07,7.12,2024
Donovan Mitchell,5.62,1.43,7.05,2024
Giannis Antetokounmpo,5.68,1.23,6.91,2024
Kawhi Leonard,5.26,1.59,6.85,2024
Jalen Brunson,7.04,-0.25,6.79,2024
LeBron James,5.32,1.38,6.71,2024
Kyrie Irving,6.21,-0.16,6.06,2024
Stephen Curry,6.2,-0.2,6,2024
Damian Lillard,5.86,0.09,5.95,2024
Jayson Tatum,5.17,0.72,5.88,2024
Devin Booker,6.53,-0.66,5.87,2024
Derrick White,3.66,2.18,5.84,2024
Tyrese Haliburton,6.62,-0.89,5.73,2024
Isaiah Hartenstein,2.24,3.25,5.49,2024
Draymond Green,1.07,4.42,5.49,2024
Fred VanVleet,4.03,1.41,5.45,2024
Kristaps Porzingis,3.29,2.09,5.38,2024
Anthony Davis,2.32,3.01,5.33,2024
Jonathan Isaac,1.98,3.27,5.25,2024
Jimmy Butler,4.68,0.34,5.03,2024
Lauri Markkanen,4.89,0.07,4.97,2024
Kevin Durant,4.02,0.92,4.94,2024
Anthony Edwards,3.94,0.98,4.92,2024
Alex Caruso,1.39,3.38,4.77,2024
Franz Wagner,2.51,2.2,4.71,2024
James Harden,4.96,-0.26,4.7,2024
De'Aaron Fox,4.99,-0.32,4.67,2024
Jrue Holiday,2.71,1.95,4.66,2024
Tyrese Maxey,5.13,-0.54,4.59,2024
OG Anunoby,1.79,2.8,4.59,2024
Rudy Gobert,0.94,3.61,4.55,2024
Robert Williams III,1.5,3.03,4.54,2024
Jordan McLaughlin,2.2,2.28,4.48,2024
Steven Adams,1.55,2.93,4.47,2024
Herbert Jones,2.12,2.29,4.41,2024
Jusuf Nurkic,0.9,3.43,4.33,2024
Domantas Sabonis,2.65,1.62,4.27,2024
Mike Conley,3.42,0.81,4.23,2024
Ja Morant,4,0.21,4.21,2024
Desmond Bane,3.92,0.28,4.2,2024
Neemias Queta,2.66,1.46,4.11,2024
Jarrett Allen,1.98,2.03,4.01,2024
Kevin Love,2.44,1.36,3.8,2024
Dean Wade,0.63,3.13,3.77,2024
Tre Jones,2.98,0.75,3.73,2024
Chris Paul,2.7,1.02,3.72,2024
Sam Hauser,2.76,0.94,3.7,2024
Bogdan Bogdanovic,3.96,-0.27,3.69,2024
Myles Turner,2.57,1.11,3.68,2024
Brook Lopez,0.83,2.72,3.55,2024
Jose Alvarado,2.03,1.52,3.55,2024
Aaron Gordon,1.98,1.55,3.54,2024
Jalen Williams,2.75,0.75,3.5,2024
Karl-Anthony Towns,2.69,0.8,3.5,2024
LaMelo Ball,4.71,-1.26,3.45,2024
Jamal Murray,4.51,-1.07,3.44,2024
T.J. McConnell,3.78,-0.36,3.42,2024
Marcus Smart,0.99,2.4,3.39,2024
Trae Young,4.84,-1.51,3.33,2024
DeMar DeRozan,3.83,-0.51,3.32,2024
Robert Covington,0.8,2.5,3.3,2024
Nikola Jovic,1.61,1.68,3.29,2024
Scotty Pippen Jr.,1.71,1.55,3.27,2024
Khris Middleton,2.68,0.57,3.25,2024
Clint Capela,1.17,2.07,3.24,2024
Pascal Siakam,3.3,-0.1,3.19,2024
De'Anthony Melton,2.34,0.84,3.18,2024
Tari Eason,1.26,1.9,3.16,2024
Kentavious Caldwell-Pope,1.87,1.25,3.12,2024
Mark Williams,2.18,0.93,3.11,2024
Daniel Gafford,1.76,1.35,3.11,2024
Zion Williamson,2.83,0.28,3.11,2024
Otto Porter Jr.,1.15,1.95,3.09,2024
Immanuel Quickley,2.61,0.48,3.09,2024
Al Horford,2.09,0.99,3.09,2024
Obi Toppin,3.26,-0.17,3.09,2024
Jalen Suggs,1.23,1.83,3.06,2024
Michael Porter Jr.,3.06,-0.03,3.03,2024
Delon Wright,1.74,1.26,3,2024
Darius Garland,2.76,0.21,2.97,2024
Wendell Carter Jr.,0.77,2.2,2.96,2024
Kenrich Williams,0.97,1.98,2.95,2024
Keegan Murray,2.24,0.68,2.92,2024
Goga Bitadze,1.07,1.85,2.92,2024
Javonte Green,1.56,1.36,2.92,2024
Jock Landale,1.13,1.74,2.87,2024
Trey Murphy III,2.33,0.52,2.85,2024
Keon Ellis,1.45,1.37,2.83,2024
Kevon Looney,1.41,1.42,2.82,2024
Bam Adebayo,0.02,2.74,2.76,2024
Alperen Sengun,1.99,0.76,2.76,2024
Luke Kornet,1.94,0.8,2.75,2024
D'Angelo Russell,3.45,-0.71,2.74,2024
Cameron Johnson,2.18,0.54,2.72,2024
Tyler Herro,2.79,-0.07,2.72,2024
Royce O'Neale,1.44,1.24,2.68,2024
Larry Nance Jr.,0.64,2.04,2.68,2024
Andre Drummond,1.33,1.35,2.68,2024
Isaiah Joe,2.6,0.05,2.65,2024
Josh Hart,1.18,1.46,2.65,2024
Blake Griffin,0.46,2.18,2.64,2024
Sam Merrill,2.65,-0.04,2.61,2024
Grayson Allen,2.6,-0.01,2.58,2024
Jakob Poeltl,0.98,1.59,2.57,2024
Kyle Lowry,0.93,1.62,2.55,2024
Brandon Ingram,2.58,-0.05,2.53,2024
Jalen Smith,2.97,-0.46,2.5,2024
Monte Morris,2.18,0.32,2.5,2024
Mitchell Robinson,0.88,1.59,2.47,2024
Coby White,3.77,-1.34,2.43,2024
Svi Mykhailiuk,2.07,0.35,2.42,2024
Mikal Bridges,1.83,0.59,2.42,2024
Kris Dunn,2.4,0.01,2.41,2024
Evan Mobley,0.17,2.23,2.4,2024
Kevin Huerter,2.95,-0.56,2.4,2024
Dwight Powell,1.29,1.08,2.37,2024
CJ McCollum,3.68,-1.31,2.37,2024
Paul Reed,1.6,0.77,2.37,2024
Gary Payton II,1.67,0.69,2.36,2024
Tobias Harris,1.44,0.92,2.36,2024
Payton Pritchard,3.54,-1.21,2.33,2024
Nickeil Alexander-Walker,1.37,0.96,2.33,2024
Brandon Clarke,0.86,1.4,2.26,2024
Donte DiVincenzo,2.83,-0.57,2.26,2024
Jaren Jackson Jr.,0.84,1.41,2.25,2024
Vince Williams Jr.,0.93,1.3,2.23,2024
Jaylen Brown,1.98,0.24,2.22,2024
Kemba Walker,2.12,0.09,2.21,2024
Trey Lyles,2.09,0.12,2.21,2024
Miles McBride,1.85,0.35,2.21,2024
Scottie Barnes,1.91,0.26,2.17,2024
Aaron Nesmith,1.9,0.27,2.16,2024
Ivica Zubac,-0.23,2.37,2.14,2024
Nicolas Batum,1.34,0.8,2.14,2024
Chris Boucher,1.97,0.16,2.13,2024
Julius Randle,2.27,-0.15,2.13,2024
Dejounte Murray,2.95,-0.84,2.11,2024
Jonas Valanciunas,1.36,0.75,2.11,2024
Spencer Dinwiddie,2.66,-0.56,2.1,2024
Moritz Wagner,2.01,0.06,2.07,2024
Joe Ingles,2.23,-0.19,2.04,2024
Luguentz Dort,1.6,0.43,2.03,2024
Austin Reaves,2.62,-0.59,2.03,2024
Bradley Beal,2.28,-0.26,2.02,2024
Dennis Smith Jr.,0.03,1.98,2.01,2024
Ben Simmons,0.88,1.11,1.99,2024
Ish Wainright,0.46,1.48,1.94,2024
Montrezl Harrell,1.71,0.23,1.94,2024
Terry Rozier,2.74,-0.83,1.91,2024
Deni Avdija,1.23,0.67,1.9,2024
Lindy Waters III,2.32,-0.43,1.89,2024
Walker Kessler,0.49,1.4,1.89,2024
Collin Sexton,4.49,-2.61,1.88,2024
Aaron Wiggins,1.44,0.44,1.88,2024
John Konchar,0.23,1.63,1.86,2024
Dyson Daniels,0.72,1.13,1.85,2024
Isaiah Jackson,1.08,0.76,1.84,2024
Bol Bol,0.63,1.21,1.84,2024
Zach LaVine,1.57,0.27,1.83,2024
Jalen Duren,0.95,0.88,1.83,2024
Max Strus,1.18,0.63,1.81,2024
Alex Len,-0.27,2.06,1.78,2024
Nic Claxton,0.07,1.63,1.7,2024
Malcolm Brogdon,2.32,-0.63,1.68,2024
Isaiah Stewart,-0.02,1.68,1.66,2024
Kelly Olynyk,2.07,-0.42,1.65,2024
Aaron Holiday,1.46,0.16,1.62,2024
Tyus Jones,3.39,-1.79,1.6,2024
Dillon Brooks,0.65,0.95,1.6,2024
Luka Garza,2.31,-0.74,1.58,2024
Andre Iguodala,-0.07,1.64,1.57,2024
Jaylin Williams,0.21,1.33,1.54,2024
Nerlens Noel,-1.59,3.13,1.54,2024
Josh Okogie,0.42,1.12,1.53,2024
Facundo Campazzo,0.54,0.98,1.52,2024
Rui Hachimura,1.26,0.21,1.47,2024
Mason Plumlee,0.32,1.13,1.45,2024
Luke Kennard,2.35,-0.9,1.44,2024
Derrick Jones Jr.,0.07,1.36,1.43,2024
Isaac Okoro,1.09,0.33,1.42,2024
Day'Ron Sharpe,1.07,0.32,1.39,2024
Orlando Robinson,0.3,1.09,1.39,2024
Naz Reid,0.29,1.1,1.39,2024
Jared Butler,1.81,-0.43,1.38,2024
Naji Marshall,0.87,0.49,1.35,2024
Dorian Finney-Smith,0.48,0.87,1.35,2024
Matisse Thybulle,0.05,1.26,1.31,2024
Buddy Hield,2.04,-0.74,1.31,2024
Frank Kaminsky,1.27,0.03,1.3,2024
Anfernee Simons,3.87,-2.56,1.3,2024
Dario Saric,1.48,-0.2,1.28,2024
Ricky Rubio,-0.16,1.43,1.28,2024
Jonathan Kuminga,1.22,0.05,1.28,2024
Moses Moody,0.99,0.29,1.28,2024
Terence Davis,1.79,-0.52,1.27,2024
George Hill,0.32,0.93,1.25,2024
Cade Cunningham,1.92,-0.68,1.24,2024
Charles Bassey,0.45,0.78,1.23,2024
Jae'Sean Tate,-0.88,2.08,1.2,2024
Hamidou Diallo,-0.01,1.18,1.18,2024
Devin Vassell,1.32,-0.14,1.18,2024
Julian Champagnie,0.87,0.3,1.17,2024
Cameron Payne,1.49,-0.32,1.17,2024
Marvin Bagley III,0.75,0.41,1.16,2024
Jalen Johnson,0.38,0.77,1.16,2024
Gary Harris,1.1,0.04,1.14,2024
Deandre Ayton,-0.38,1.51,1.12,2024
Dru Smith,0.2,0.92,1.12,2024
Tre Mann,0.76,0.32,1.09,2024
AJ Green,1.81,-0.76,1.05,2024
Caleb Martin,0.52,0.53,1.05,2024
Anthony Lamb,0.87,0.18,1.05,2024
Thaddeus Young,1.06,-0.03,1.02,2024
Caris LeVert,1.34,-0.33,1.02,2024
Duncan Robinson,1.59,-0.6,0.99,2024
Simone Fontecchio,0.96,0.03,0.99,2024
Onyeka Okongwu,1.5,-0.52,0.98,2024
Dalen Terry,0.32,0.65,0.97,2024
Trevelin Queen,-0.42,1.38,0.96,2024
Tony Bradley,-0.86,1.81,0.94,2024
Terance Mann,1.66,-0.73,0.92,2024
Moussa Diabate,0.49,0.41,0.9,2024
Jarred Vanderbilt,0.11,0.78,0.88,2024
Christian Koloko,-0.93,1.75,0.82,2024
Jordan Goodwin,-0.01,0.82,0.81,2024
Kyle Anderson,-0.34,1.13,0.79,2024
Saddiq Bey,2.21,-1.42,0.79,2024
Victor Oladipo,0.64,0.15,0.79,2024
Alec Burks,1.96,-1.17,0.78,2024
Davis Bertans,1.72,-0.95,0.77,2024
Patrick Beverley,0.27,0.48,0.75,2024
Dewayne Dedmon,-0.81,1.55,0.74,2024
Xavier Tillman,-1.47,2.21,0.73,2024
Cody Zeller,-0.3,1.02,0.72,2024
Malik Beasley,0.94,-0.24,0.71,2024
Oshae Brissett,0.32,0.38,0.7,2024
P.J. Washington,0.43,0.26,0.7,2024
Paolo Banchero,1.13,-0.44,0.7,2024
Klay Thompson,2.3,-1.61,0.69,2024
Sandro Mamukelashvili,0.65,0.03,0.68,2024
Chimezie Metu,-0.31,0.99,0.68,2024
Kevin Porter Jr.,1.87,-1.2,0.67,2024
Jacob Gilyard,1.66,-1,0.65,2024
Gabe Vincent,0.41,0.24,0.64,2024
Haywood Highsmith,-0.31,0.93,0.63,2024
Russell Westbrook,0.79,-0.17,0.62,2024
Kelly Oubre Jr.,0.8,-0.19,0.61,2024
Jaden McDaniels,0.06,0.55,0.61,2024
John Collins,1.03,-0.42,0.6,2024
Edmond Sumner,0.78,-0.18,0.59,2024
Jalen Green,1.9,-1.31,0.59,2024
Dennis Schroder,1.4,-0.82,0.59,2024
Wesley Matthews,0.03,0.56,0.59,2024
Damion Lee,0.29,0.28,0.58,2024
JaVale McGee,-0.73,1.3,0.57,2024
Mo Bamba,-0.53,1.1,0.57,2024
Danny Green,0.28,0.29,0.56,2024
Thomas Bryant,0.73,-0.2,0.53,2024
Micah Potter,0.12,0.4,0.52,2024
Nathan Knight,0.5,0.02,0.52,2024
Bobby Portis,1.57,-1.07,0.51,2024
Jevon Carter,0.06,0.44,0.5,2024
Norman Powell,2.18,-1.7,0.48,2024
Rodney McGruder,1.16,-0.68,0.48,2024
Andrew Nembhard,0.46,0.01,0.47,2024
Cole Anthony,1.31,-0.86,0.45,2024
Vit Krejci,1.37,-0.93,0.45,2024
Dylan Windler,0.17,0.27,0.44,2024
Eric Gordon,1.26,-0.84,0.42,2024
Eugene Omoruyi,0.53,-0.12,0.41,2024
Moses Brown,-0.42,0.83,0.41,2024
Jeff Dowtin Jr.,0.49,-0.09,0.4,2024
Harrison Barnes,0.92,-0.52,0.39,2024
Nick Richards,0.13,0.24,0.37,2024
Christian Braun,-0.25,0.61,0.37,2024
De'Andre Hunter,1.1,-0.76,0.33,2024
Kenneth Lofton Jr.,1.22,-0.9,0.32,2024
Jerami Grant,1.01,-0.7,0.31,2024
Malik Monk,2.05,-1.76,0.29,2024
Caleb Houstan,0.95,-0.68,0.27,2024
Justin Holiday,0.37,-0.11,0.27,2024
Josh Giddey,0.15,0.1,0.25,2024
Braxton Key,-0.41,0.66,0.25,2024
Garrison Mathews,0.63,-0.41,0.22,2024
Nikola Vucevic,0.13,0.07,0.2,2024
Jae Crowder,-0.23,0.42,0.19,2024
Devonte' Graham,0.78,-0.59,0.19,2024
Ayo Dosunmu,0.35,-0.16,0.19,2024
Raul Neto,0.7,-0.51,0.19,2024
Justise Winslow,-1.01,1.19,0.18,2024
Patrick Williams,0.27,-0.12,0.16,2024
Bismack Biyombo,-1.17,1.32,0.15,2024
Maxi Kleber,-1.02,1.16,0.14,2024
Terry Taylor,0.91,-0.78,0.14,2024
Matt Ryan,0.71,-0.57,0.13,2024
Willy Hernangomez,0.37,-0.25,0.13,2024
Wenyen Gabriel,-0.22,0.34,0.12,2024
Tim Hardaway Jr.,1.69,-1.6,0.1,2024
Anthony Gill,0.72,-0.64,0.09,2024
Lamar Stevens,-0.6,0.68,0.08,2024
P.J. Tucker,-0.73,0.8,0.07,2024
Lester Quinones,0.63,-0.57,0.06,2024
Jaden Springer,-0.26,0.3,0.05,2024
Cody Martin,-0.53,0.58,0.05,2024
Daniel Theis,0,0.04,0.04,2024
Jabari Smith Jr.,0.53,-0.51,0.02,2024
Keldon Johnson,1.55,-1.54,0,2024
Nate Williams,1.02,-1.04,-0.01,2024
Stanley Johnson,0.63,-0.64,-0.02,2024
Jericho Sims,-1.46,1.44,-0.02,2024
Juancho Hernangomez,-0.01,-0.02,-0.03,2024
Gordon Hayward,-0.16,0.13,-0.03,2024
Santi Aldama,0.03,-0.07,-0.04,2024
T.J. Warren,0.02,-0.1,-0.08,2024
Khem Birch,-0.73,0.64,-0.09,2024
Frank Ntilikina,-0.34,0.24,-0.1,2024
JaMychal Green,0.28,-0.39,-0.11,2024
Isaiah Roby,-0.17,0.05,-0.12,2024
Keita Bates-Diop,-0.17,0.02,-0.15,2024
Boban Marjanovic,0.34,-0.5,-0.15,2024
Talen Horton-Tucker,1.08,-1.24,-0.16,2024
Kai Jones,-1.26,1.1,-0.16,2024
Patrick Baldwin Jr.,-0.34,0.18,-0.16,2024
Rudy Gay,-0.3,0.12,-0.18,2024
Joe Harris,0.85,-1.04,-0.19,2024
Landry Shamet,0.75,-0.95,-0.21,2024
Ty Jerome,0.88,-1.09,-0.21,2024
Ryan Arcidiacono,-2.37,2.15,-0.21,2024
Gary Trent Jr.,1.38,-1.6,-0.22,2024
Derrick Rose,-0.26,0.04,-0.22,2024
Andrew Wiggins,0.29,-0.52,-0.23,2024
Josh Green,0.73,-0.99,-0.26,2024
Saben Lee,-0.31,0.05,-0.26,2024
Kevon Harris,-0.24,-0.02,-0.27,2024
Furkan Korkmaz,-0.09,-0.18,-0.27,2024
Serge Ibaka,-0.58,0.31,-0.27,2024
Quentin Grimes,-0.16,-0.12,-0.28,2024
Taj Gibson,-1.02,0.71,-0.31,2024
Jeremy Sochan,-0.62,0.28,-0.35,2024
Juan Toscano-Anderson,-1.11,0.76,-0.35,2024
RJ Barrett,0.99,-1.37,-0.38,2024
Kessler Edwards,0.55,-0.94,-0.39,2024
Peyton Watson,-1.04,0.66,-0.39,2024
Bruce Brown,1.11,-1.5,-0.39,2024
Zach Collins,-0.36,-0.03,-0.39,2024
Jordan Clarkson,1.5,-1.89,-0.39,2024
Damian Jones,-0.98,0.58,-0.39,2024
Patty Mills,-0.01,-0.39,-0.4,2024
AJ Griffin,0.66,-1.07,-0.41,2024
Trendon Watford,0.72,-1.15,-0.44,2024
Lonnie Walker IV,0.86,-1.31,-0.45,2024
KZ Okpala,-0.88,0.42,-0.45,2024
Jaylen Nowell,1.04,-1.5,-0.46,2024
Justin Champagnie,0.54,-1,-0.46,2024
Cam Thomas,1.74,-2.21,-0.47,2024
Johnny Juzang,1.27,-1.75,-0.48,2024
Christian Wood,-0.46,-0.03,-0.48,2024
Kendrick Nunn,0.8,-1.29,-0.49,2024
PJ Dozier,-1.34,0.84,-0.49,2024
Danuel House Jr.,-0.37,-0.14,-0.51,2024
James Johnson,-0.83,0.3,-0.53,2024
Garrett Temple,-0.65,0.12,-0.53,2024
Jamal Cain,-0.13,-0.41,-0.53,2024
Cedi Osman,0.86,-1.4,-0.54,2024
Dominick Barlow,0.42,-0.98,-0.56,2024
Grant Williams,-0.02,-0.55,-0.57,2024
Udoka Azubuike,-0.84,0.24,-0.6,2024
Romeo Langford,-0.81,0.19,-0.62,2024
Precious Achiuwa,-0.7,0.04,-0.66,2024
Olivier Sarr,-0.4,-0.26,-0.66,2024
Vlatko Cancar,0.03,-0.7,-0.68,2024
Jake LaRavia,0.06,-0.74,-0.68,2024
Taurean Prince,0.39,-1.08,-0.68,2024
Josh Richardson,0.18,-0.86,-0.69,2024
Usman Garuba,-0.32,-0.37,-0.69,2024
Davon Reed,-0.26,-0.44,-0.7,2024
Sterling Brown,-1.18,0.46,-0.72,2024
Georges Niang,0.82,-1.54,-0.72,2024
Ousmane Dieng,-0.41,-0.32,-0.73,2024
Reggie Jackson,0.16,-0.92,-0.75,2024
Zeke Nnaji,-1.65,0.9,-0.75,2024
Shake Milton,-0.55,-0.21,-0.76,2024
Jordan Poole,0.37,-1.13,-0.76,2024
Ochai Agbaji,-0.15,-0.62,-0.77,2024
Theo Pinson,0.66,-1.43,-0.77,2024
Jaden Ivey,0.44,-1.22,-0.78,2024
Skylar Mays,0.55,-1.34,-0.79,2024
Gorgui Dieng,-0.16,-0.66,-0.82,2024
Drew Eubanks,-1.04,0.21,-0.82,2024
Troy Brown Jr.,0.09,-0.93,-0.84,2024
Torrey Craig,0.57,-1.41,-0.84,2024
Bruno Fernando,-0.75,-0.1,-0.85,2024
Kevin Knox II,0.29,-1.19,-0.9,2024
Stanley Umude,0.18,-1.12,-0.94,2024
Will Barton,-0.24,-0.69,-0.94,2024
Mike Muscala,-0.45,-0.49,-0.94,2024
Mamadi Diakite,-1.47,0.53,-0.95,2024
Chris Duarte,-0.64,-0.31,-0.96,2024
Amir Coffey,0.86,-1.82,-0.96,2024
Jaxson Hayes,-0.72,-0.25,-0.97,2024
John Wall,-0.35,-0.66,-1.01,2024
Goran Dragic,0,-1.02,-1.02,2024
Seth Curry,-0.18,-0.84,-1.02,2024
Bryn Forbes,0.48,-1.51,-1.03,2024
McKinley Wright IV,0.26,-1.3,-1.04,2024
Jabari Walker,-0.2,-0.84,-1.04,2024
Corey Kispert,1.68,-2.73,-1.05,2024
David Duke Jr.,-0.79,-0.26,-1.05,2024
Austin Rivers,-0.01,-1.06,-1.07,2024
Markelle Fultz,-0.89,-0.2,-1.09,2024
Jarrett Culver,-1.25,0.15,-1.1,2024
Theo Maledon,-0.35,-0.76,-1.11,2024
Davion Mitchell,-0.26,-0.85,-1.11,2024
AJ Lawson,-0.26,-0.86,-1.12,2024
Kyle Kuzma,0.09,-1.22,-1.13,2024
Xavier Moon,-0.27,-0.88,-1.15,2024
Jared Rhoden,-0.39,-0.81,-1.2,2024
Pat Connaughton,0.51,-1.74,-1.23,2024
Justin Minaya,-1.33,0.09,-1.24,2024
Admiral Schofield,-0.77,-0.47,-1.24,2024
Max Christie,-1.05,-0.2,-1.24,2024
Marcus Morris Sr.,-0.16,-1.1,-1.25,2024
KJ Martin,-0.05,-1.21,-1.25,2024
Shaedon Sharpe,0.25,-1.51,-1.26,2024
DeAndre Jordan,-0.74,-0.53,-1.27,2024
Cory Joseph,0.08,-1.34,-1.27,2024
Dalano Banton,-0.45,-0.83,-1.29,2024
Bones Hyland,0.75,-2.1,-1.35,2024
Kennedy Chandler,-1.01,-0.38,-1.39,2024
Frank Jackson,0.11,-1.5,-1.39,2024
Malachi Flynn,0.28,-1.77,-1.48,2024
MarJon Beauchamp,-0.44,-1.08,-1.52,2024
Killian Hayes,-0.75,-0.8,-1.55,2024
Doug McDermott,1.62,-3.19,-1.58,2024
Richaun Holmes,-0.85,-0.73,-1.59,2024
Markieff Morris,-0.8,-0.81,-1.6,2024
Jeremiah Robinson-Earl,-0.88,-0.75,-1.63,2024
Reggie Bullock Jr.,-0.67,-0.97,-1.64,2024
Bojan Bogdanovic,1.51,-3.16,-1.66,2024
Evan Fournier,-1.46,-0.26,-1.71,2024
JT Thor,-1.16,-0.55,-1.71,2024
Joshua Primo,-1.47,-0.26,-1.72,2024
Blake Wesley,-0.98,-0.79,-1.77,2024
Terrence Ross,0.18,-1.95,-1.77,2024
Nassir Little,-0.4,-1.38,-1.78,2024
Darius Bazley,-1.72,-0.06,-1.78,2024
Lindell Wigginton,-0.48,-1.35,-1.83,2024
Jeff Green,-0.6,-1.26,-1.85,2024
Bryce McGowens,-1.23,-0.67,-1.89,2024
Joe Wieskamp,-0.66,-1.23,-1.89,2024
Yuta Watanabe,-0.89,-1.03,-1.93,2024
Cam Reddish,-1.61,-0.33,-1.94,2024
Omer Yurtseven,-0.62,-1.39,-2.01,2024
Robin Lopez,-1.3,-0.76,-2.06,2024
Ziaire Williams,-1.61,-0.45,-2.06,2024
TyTy Washington Jr.,-1.38,-0.76,-2.14,2024
James Bouknight,-0.5,-1.67,-2.17,2024
R.J. Hampton,-0.81,-1.37,-2.19,2024
Jaden Hardy,-0.06,-2.14,-2.2,2024
Thanasis Antetokounmpo,-1.92,-0.3,-2.22,2024
Greg Brown III,-1.9,-0.32,-2.23,2024
David Roddy,-1.34,-0.89,-2.23,2024
Duane Washington Jr.,-0.24,-2.02,-2.25,2024
Trent Forrest,-1.29,-1.04,-2.32,2024
Bennedict Mathurin,-0.07,-2.26,-2.33,2024
Isaiah Livers,-0.56,-1.79,-2.35,2024
Kira Lewis Jr.,-1.51,-0.87,-2.38,2024
Jordan Nwora,-0.54,-1.94,-2.48,2024
Daishen Nix,-1.3,-1.2,-2.49,2024
Aleksej Pokusevski,-1.42,-1.08,-2.51,2024
Chuma Okeke,-2.28,-0.26,-2.54,2024
Leandro Bolmaro,-2.67,0.04,-2.63,2024
Ryan Rollins,-1.37,-1.27,-2.64,2024
James Wiseman,-1,-1.69,-2.69,2024
Jalen McDaniels,-1.78,-0.98,-2.76,2024
Malaki Branham,-0.89,-1.97,-2.87,2024
Buddy Boeheim,-1.19,-1.72,-2.91,2024
Jason Preston,-1.09,-1.86,-2.95,2024
Josh Christopher,-0.57,-2.42,-2.99,2024
Dereon Seabron,-1.3,-1.71,-3.01,2024
Xavier Cooks,-1.21,-1.83,-3.04,2024
Josh Minott,-1.24,-1.81,-3.05,2024
Keon Johnson,-0.9,-2.16,-3.06,2024
Luka Samanic,-1.79,-1.28,-3.07,2024
Jay Huff,-1.33,-1.86,-3.19,2024
Johnny Davis,-2.12,-1.09,-3.21,2024
JD Davison,-1.49,-1.77,-3.26,2024
Gabe York,-1.27,-2,-3.27,2024
Carlik Jones,-1.43,-1.85,-3.28,2024
Marko Simonovic,-1.46,-1.83,-3.28,2024
Mac McClung,-1.43,-1.87,-3.3,2024
Quenton Jackson,-1.54,-1.77,-3.31,2024
Malcolm Hill,-1.45,-1.9,-3.35,2024
Jarrell Brantley,-1.48,-1.88,-3.36,2024
Alize Johnson,-1.44,-1.93,-3.37,2024
Shaquille Harrison,-1.39,-1.98,-3.38,2024
Devon Dotson,-1.49,-1.89,-3.38,2024
Trevor Hudgins,-1.48,-1.93,-3.41,2024
Darius Days,-1.46,-1.95,-3.42,2024
Donovan Williams,-1.47,-1.96,-3.43,2024
Jordan Schakel,-1.5,-1.94,-3.44,2024
Ron Harper Jr.,-1.41,-2.03,-3.44,2024
Tyrese Martin,-1.49,-1.96,-3.45,2024
Deonte Burton,-1.44,-2.02,-3.47,2024
RaiQuan Gray,-1.28,-2.19,-3.47,2024
Tyler Dorsey,-1.51,-1.97,-3.48,2024
Jay Scrubb,-1.51,-1.99,-3.5,2024
Louis King,-1.42,-2.09,-3.51,2024
Isaiah Todd,-1.67,-1.84,-3.51,2024
Michael Foster Jr.,-1.52,-2.01,-3.52,2024
Chris Silva,-1.54,-1.99,-3.53,2024
Chima Moneke,-1.53,-2.02,-3.54,2024
Matthew Dellavedova,-1.69,-1.86,-3.55,2024
Kendall Brown,-1.9,-1.65,-3.55,2024
Noah Vonleh,-1.54,-2.02,-3.56,2024
Isaiah Mobley,-1.76,-1.81,-3.57,2024
Jordan Hall,-1.65,-1.92,-3.57,2024
John Butler Jr.,-1.51,-2.07,-3.58,2024
Meyers Leonard,-1.39,-2.19,-3.58,2024
Vernon Carey Jr.,-1.65,-1.94,-3.6,2024
Mfiondu Kabengele,-1.54,-2.06,-3.6,2024
Xavier Sneed,-1.65,-1.95,-3.6,2024
Jack White,-1.72,-1.9,-3.61,2024
Cole Swider,-1.55,-2.08,-3.62,2024
Trevor Keels,-1.58,-2.06,-3.63,2024
Chance Comanche,-1.52,-2.17,-3.69,2024
Udonis Haslem,-1.63,-2.06,-3.69,2024
Michael Carter-Williams,-1.56,-2.16,-3.72,2024
Wendell Moore Jr.,-1.59,-2.16,-3.76,2024
Jamaree Bouyea,-1.84,-1.94,-3.78,2024
Alondes Williams,-1.76,-2.04,-3.79,2024
Ish Smith,-2.3,-1.58,-3.88,2024
Kobi Simmons,-1.79,-2.11,-3.9,2024
Justin Jackson,-1.97,-2.01,-3.98,2024
Brandon Boston Jr.,-2.33,-2.58,-4.91,2024
Nikola Jokic,7.43,2.15,9.57,2023
Kawhi Leonard,6.48,1.36,7.84,2023
Stephen Curry,7.29,0.54,7.83,2023
Joel Embiid,5.33,2.27,7.6,2023
Damian Lillard,8.82,-1.52,7.3,2023
Kevin Durant,5.8,1.32,7.12,2023
Jayson Tatum,6.07,0.88,6.95,2023
Jrue Holiday,5.19,1.59,6.78,2023
Jimmy Butler,5.74,0.96,6.7,2023
Donovan Mitchell,6.45,0.1,6.55,2023
Luka Doncic,7.06,-0.69,6.37,2023
Giannis Antetokounmpo,4.67,1.66,6.33,2023
LeBron James,4.86,1.16,6.02,2023
Kyrie Irving,6.53,-0.67,5.86,2023
Paul George,3.94,1.76,5.69,2023
Shai Gilgeous-Alexander,6.06,-0.39,5.68,2023
Devin Booker,6.35,-0.76,5.59,2023
Darius Garland,4.47,1.12,5.59,2023
