Player,OffenseMamba,DefenseMamba,Mamba,Season
Zach LaVine,5.17,-0.572,4.599,2021
Draymond Green,1.21,3.446,4.656,2021
Bradley Beal,6.191,-1.876,4.315,2021
Trae Young,7.045,-2.852,4.193,2021
Patrick Beverley,2.11,2.342,4.452,2021
Alex Caruso,1.122,3.369,4.491,2021
Anthony Davis,2.365,2.029,4.395,2021
Mikal Bridges,3.448,0.813,4.261,2021
Cameron Payne,4.434,-0.239,4.196,2021
Kyle Lowry,3.151,0.968,4.119,2021
Dorian Finney-Smith,2.778,1.277,4.055,2021
Bogdan Bogdanovic,4.01,-0.034,3.976,2021
Christian Wood,2.176,1.904,4.08,2021
Julius Randle,2.527,1.514,4.041,2021
Richaun Holmes,2.125,1.936,4.061,2021
Thaddeus Young,3.318,0.608,3.927,2021
Duncan Robinson,2.885,1.041,3.926,2021
Gordon Hayward,2.761,1.15,3.912,2021
Russell Westbrook,2.324,1.569,3.893,2021
Brook Lopez,1.179,2.779,3.958,2021
Danny Green,2.387,1.487,3.874,2021
OG Anunoby,1.372,2.53,3.901,2021
De'Anthony Melton,2.137,1.7,3.837,2021
John Collins,3.313,0.445,3.758,2021
Bam Adebayo,1.974,1.812,3.786,2021
Ben Simmons,1.404,2.414,3.818,2021
Paul Reed,-0.173,4.044,3.871,2021
Nikola Vucevic,2.828,0.846,3.674,2021
Brandon Ingram,3.731,-0.146,3.586,2021
Devin Booker,4.933,-1.437,3.495,2021
Paul Millsap,1.925,1.734,3.659,2021
Jaylen Brown,3.154,0.362,3.515,2021
Shai Gilgeous-Alexander,4.283,-0.868,3.416,2021
Reggie Jackson,3.118,0.365,3.483,2021
Pascal Siakam,2.395,1.065,3.461,2021
Khris Middleton,3.002,0.385,3.388,2021
DeMar DeRozan,4.771,-1.502,3.269,2021
Marcus Smart,2.039,1.388,3.428,2021
Jonas Valanciunas,2.217,1.199,3.415,2021
Lonzo Ball,2.826,0.507,3.332,2021
Jalen Brunson,3.279,0.023,3.302,2021
Donta Hall,1.154,2.259,3.413,2021
Robert Covington,1.207,2.203,3.41,2021
Malcolm Brogdon,3.299,-0.048,3.251,2021
De'Andre Hunter,0.812,2.511,3.323,2021
Evan Fournier,3.367,-0.209,3.159,2021
Thomas Bryant,2.747,0.449,3.196,2021
Kyle Anderson,1.168,2.101,3.269,2021
Victor Oladipo,1.152,2.061,3.213,2021
Tobias Harris,2.225,0.92,3.144,2021
Derrick Rose,2.311,0.793,3.104,2021
Chris Chiozza,2.046,1.069,3.114,2021
Myles Turner,-0.429,3.687,3.258,2021
Robert Williams III,2.418,0.581,2.999,2021
Matisse Thybulle,0.788,2.281,3.069,2021
Ivica Zubac,0.212,2.87,3.082,2021
Joe Harris,3.262,-0.368,2.894,2021
Blake Griffin,1.815,1.132,2.947,2021
Dejounte Murray,1.814,1.132,2.945,2021
George Hill,2.269,0.648,2.917,2021
Ja Morant,3.729,-0.914,2.815,2021
Jusuf Nurkic,-0.011,3.024,3.014,2021
Donovan Mitchell,4.097,-1.377,2.719,2021
Kelly Olynyk,2.278,0.542,2.82,2021
Donte DiVincenzo,2.316,0.484,2.8,2021
Kristaps Porzingis,2.92,-0.18,2.741,2021
Davis Bertans,4.05,-1.415,2.635,2021
Dillon Brooks,1.333,1.461,2.794,2021
Ricky Rubio,1.96,0.79,2.751,2021
Oshae Brissett,2.942,-0.287,2.655,2021
Daniel Gafford,1.198,1.556,2.754,2021
Domantas Sabonis,1.412,1.325,2.736,2021
Bruce Brown,2.01,0.678,2.688,2021
Mike Muscala,1.654,1.042,2.696,2021
Isaiah Hartenstein,0.702,2.031,2.732,2021
T.J. McConnell,2.504,0.1,2.604,2021
Buddy Hield,3.636,-1.11,2.526,2021
Jae Crowder,0.776,1.893,2.67,2021
James Ennis III,1.819,0.774,2.594,2021
Aaron Gordon,1.603,0.984,2.587,2021
Montrezl Harrell,1.901,0.658,2.559,2021
Kent Bazemore,-0.537,3.207,2.67,2021
Jarred Vanderbilt,-0.199,2.842,2.643,2021
Dennis Schroder,2.077,0.416,2.494,2021
Royce O'Neale,1.538,0.96,2.498,2021
De'Aaron Fox,3.391,-1.005,2.386,2021
Nicolas Batum,1.827,0.601,2.428,2021
Danilo Gallinari,3.235,-0.912,2.323,2021
Seth Curry,2.74,-0.414,2.326,2021
Kenrich Williams,1.975,0.388,2.363,2021
Marc Gasol,-0.44,2.941,2.502,2021
Immanuel Quickley,3.483,-1.23,2.253,2021
Caris LeVert,2.597,-0.342,2.255,2021
Anthony Gill,0.472,1.898,2.371,2021
Skylar Mays,2.014,0.225,2.239,2021
Delon Wright,1.541,0.677,2.218,2021
Terry Rozier,3.296,-1.193,2.103,2021
Mitchell Robinson,0.241,2.037,2.278,2021
Monte Morris,2.106,0.055,2.161,2021
Deandre Ayton,1.349,0.835,2.184,2021
Cameron Johnson,1.953,0.19,2.143,2021
Steven Adams,1.043,1.152,2.195,2021
Maxi Kleber,1.187,0.929,2.116,2021
Wayne Ellington,3.314,-1.336,1.978,2021
Jarrett Allen,0.88,1.225,2.105,2021
Daniel Theis,0.545,1.549,2.095,2021
Kelan Martin,0.993,1.074,2.067,2021
LaMelo Ball,2.066,-0.067,1.999,2021
Isaiah Stewart,-0.045,2.149,2.104,2021
Dewayne Dedmon,0.359,1.72,2.079,2021
Trevor Ariza,0.592,1.447,2.039,2021
Rudy Gay,0.402,1.631,2.033,2021
Facundo Campazzo,1.076,0.892,1.969,2021
Al Horford,1.338,0.601,1.939,2021
Alec Burks,1.728,0.151,1.879,2021
Tim Hardaway Jr.,3.291,-1.513,1.778,2021
D'Angelo Russell,3.455,-1.689,1.765,2021
Raul Neto,1.503,0.352,1.855,2021
Jae'Sean Tate,1.137,0.72,1.857,2021
Furkan Korkmaz,2.191,-0.409,1.782,2021
Damion Lee,2.046,-0.266,1.78,2021
Patty Mills,2.773,-1.037,1.735,2021
Xavier Tillman,0.62,1.243,1.863,2021
Tony Bradley,1.428,0.336,1.764,2021
Khyri Thomas,2.177,-0.46,1.716,2021
Jerami Grant,1.651,0.093,1.744,2021
LaMarcus Aldridge,0.344,1.441,1.785,2021
Eric Bledsoe,1.677,0.026,1.703,2021
DeMarcus Cousins,-0.156,1.955,1.799,2021
Dennis Smith Jr.,0.384,1.376,1.76,2021
Dwight Powell,0.691,1.046,1.737,2021
Jordan Clarkson,3.52,-1.965,1.555,2021
Georges Niang,1.689,-0.027,1.662,2021
David Nwaba,0.524,1.204,1.728,2021
Luguentz Dort,0.838,0.867,1.705,2021
Dario Saric,1.145,0.493,1.638,2021
RJ Barrett,1.564,0.029,1.593,2021
Pat Connaughton,1.833,-0.27,1.563,2021
Willie Cauley-Stein,-0.634,2.345,1.711,2021
Andrew Wiggins,0.778,0.839,1.617,2021
Cody Martin,0.386,1.244,1.631,2021
Brandon Clarke,1.028,0.558,1.585,2021
Kentavious Caldwell-Pope,1.616,-0.073,1.543,2021
Tyrese Haliburton,3.473,-2.05,1.423,2021
Norman Powell,2.044,-0.536,1.507,2021
Tomas Satoransky,1.471,0.065,1.535,2021
Bojan Bogdanovic,2.061,-0.587,1.474,2021
Larry Nance Jr.,-0.643,2.256,1.613,2021
Harrison Barnes,1.908,-0.466,1.442,2021
Jeremy Lamb,2.304,-0.894,1.41,2021
Eric Gordon,2.299,-0.897,1.402,2021
Jordan Poole,2.426,-1.032,1.394,2021
Ish Smith,1.235,0.225,1.46,2021
PJ Dozier,0.385,1.123,1.508,2021
Kevin Huerter,1.526,-0.102,1.425,2021
John Konchar,0.984,0.449,1.433,2021
Bobby Portis,1.711,-0.328,1.384,2021
Darius Garland,1.755,-0.399,1.356,2021
Serge Ibaka,0.813,0.578,1.39,2021
Grayson Allen,1.843,-0.566,1.277,2021
Jordan McLaughlin,0.761,0.571,1.331,2021
Michael Carter-Williams,-1.158,2.602,1.444,2021
Justin Holiday,0.846,0.445,1.291,2021
Taj Gibson,-0.254,1.587,1.333,2021
Mason Plumlee,1.604,-0.396,1.208,2021
Tremont Waters,0.833,0.407,1.24,2021
Malik Beasley,2.373,-1.234,1.139,2021
Austin Rivers,1.781,-0.636,1.145,2021
Terance Mann,1.961,-0.83,1.131,2021
Kevin Love,2.001,-0.875,1.127,2021
Darius Miller,1.127,0.052,1.179,2021
Marcus Morris Sr.,2.623,-1.543,1.08,2021
Wesley Matthews,-0.519,1.766,1.247,2021
Frank Jackson,1.973,-0.889,1.084,2021
Miles Bridges,1.618,-0.514,1.104,2021
Ryan Arcidiacono,0.69,0.458,1.148,2021
Juan Toscano-Anderson,0.21,0.942,1.152,2021
Killian Tillie,-0.52,1.714,1.194,2021
Andre Drummond,-0.92,2.118,1.198,2021
Kira Lewis Jr.,0.838,0.228,1.066,2021
Luke Kornet,-0.219,1.332,1.112,2021
Alize Johnson,0.621,0.401,1.022,2021
Mike James,1.435,-0.469,0.966,2021
Derrick Favors,-0.134,1.084,0.95,2021
Jevon Carter,1.547,-0.698,0.849,2021
Paul Watson,1.928,-1.109,0.819,2021
Collin Sexton,2.534,-1.786,0.748,2021
Talen Horton-Tucker,-0.094,0.988,0.894,2021
Doug McDermott,2.637,-1.911,0.726,2021
Kendrick Nunn,1.787,-1.018,0.769,2021
Saddiq Bey,1.65,-0.879,0.77,2021
Khem Birch,0.413,0.402,0.814,2021
Malachi Flynn,0.54,0.265,0.805,2021
Garrett Temple,0.185,0.638,0.823,2021
Keldon Johnson,1.04,-0.314,0.726,2021
Desmond Bane,1.947,-1.279,0.668,2021
Rajon Rondo,1.184,-0.477,0.707,2021
Tyus Jones,1.409,-0.72,0.689,2021
Goga Bitadze,0.509,0.222,0.731,2021
Wendell Carter Jr.,-0.892,1.703,0.811,2021
Moritz Wagner,-0.551,1.339,0.788,2021
Josh Richardson,1.125,-0.467,0.658,2021
Max Strus,2.815,-2.305,0.51,2021
Nerlens Noel,-1.356,2.113,0.757,2021
Cody Zeller,0.813,-0.216,0.597,2021
Kevon Looney,0.554,0.051,0.605,2021
JaMychal Green,0.782,-0.259,0.523,2021
Mo Bamba,0.749,-0.225,0.524,2021
Lauri Markkanen,0.91,-0.405,0.504,2021
Coby White,1.632,-1.177,0.455,2021
Gabe Vincent,-0.058,0.594,0.536,2021
Shake Milton,1.807,-1.396,0.41,2021
D.J. Augustin,2.428,-2.06,0.367,2021
Otto Porter Jr.,1.495,-1.089,0.406,2021
Boban Marjanovic,0.501,-0.054,0.447,2021
John Wall,0.19,0.26,0.45,2021
Goran Dragic,1.945,-1.605,0.34,2021
Jaxson Hayes,-0.226,0.688,0.462,2021
Nemanja Bjelica,1.49,-1.153,0.337,2021
Saben Lee,0.872,-0.508,0.365,2021
DeAndre Jordan,-0.745,1.205,0.46,2021
Frank Kaminsky,1.093,-0.75,0.343,2021
Derrick Jones Jr.,0.246,0.086,0.332,2021
Will Barton,0.676,-0.38,0.296,2021
Jordan Nwora,-0.796,1.171,0.376,2021
Luka Samanic,-1.586,2.008,0.422,2021
Josh Hart,0.982,-0.74,0.241,2021
Cory Joseph,0.592,-0.331,0.261,2021
Markelle Fultz,0.534,-0.275,0.259,2021
Willy Hernangomez,1.726,-1.578,0.148,2021
Gorgui Dieng,0.945,-0.759,0.186,2021
Nickeil Alexander-Walker,0.734,-0.545,0.19,2021
Naji Marshall,0.279,-0.065,0.214,2021
Sam Merrill,0.685,-0.505,0.18,2021
Jabari Parker,0.325,-0.159,0.165,2021
DeAndre' Bembry,-0.46,0.651,0.191,2021
Chuma Okeke,-0.065,0.218,0.152,2021
Taurean Prince,0.779,-0.688,0.091,2021
Hassan Whiteside,-1.686,1.909,0.223,2021
P.J. Washington,-0.376,0.518,0.142,2021
Alfonzo McKinnie,1.155,-1.109,0.046,2021
Rui Hachimura,-0.343,0.463,0.12,2021
Alex Len,-1.175,1.341,0.166,2021
Kelly Oubre Jr.,-1.009,1.155,0.147,2021
Patrick Patterson,0.756,-0.731,0.025,2021
Langston Galloway,1.792,-1.83,-0.038,2021
Carmelo Anthony,1.701,-1.752,-0.051,2021
Andre Iguodala,-0.524,0.586,0.062,2021
Denzel Valentine,0.276,-0.269,0.007,2021
Mychal Mulder,2.108,-2.229,-0.121,2021
Caleb Martin,-0.483,0.492,0.01,2021
Terence Davis,1.233,-1.327,-0.094,2021
Jeff Teague,1.429,-1.538,-0.109,2021
Gary Trent Jr.,2.186,-2.351,-0.165,2021
Yuta Watanabe,-0.174,0.144,-0.031,2021
CJ Elleby,-0.42,0.394,-0.025,2021
Tyler Johnson,1.193,-1.331,-0.138,2021
Obi Toppin,-0.046,-0.035,-0.081,2021
JaVale McGee,-2.046,2.067,0.021,2021
Jeff Green,1.226,-1.425,-0.199,2021
Trey Burke,1.595,-1.817,-0.222,2021
Dwight Howard,-0.865,0.788,-0.078,2021
Miye Oni,0.156,-0.306,-0.15,2021
Landry Shamet,2.175,-2.537,-0.362,2021
Gabriel Deck,1.773,-2.112,-0.339,2021
Garrison Mathews,1.433,-1.759,-0.326,2021
Dean Wade,0.62,-0.91,-0.29,2021
Josh Okogie,-0.615,0.396,-0.219,2021
Naz Reid,-0.086,-0.168,-0.254,2021
Aaron Holiday,0.343,-0.65,-0.306,2021
Payton Pritchard,2.12,-2.533,-0.414,2021
Svi Mykhailiuk,0.32,-0.657,-0.338,2021
Tony Snell,0.754,-1.135,-0.381,2021
Semi Ojeleye,-0.506,0.197,-0.308,2021
DaQuan Jeffries,-0.131,-0.204,-0.336,2021
Al-Farouq Aminu,-2.659,2.474,-0.185,2021
Anthony Edwards,1.257,-1.682,-0.425,2021
Ed Davis,-1.007,0.711,-0.296,2021
Ty Jerome,1.893,-2.375,-0.482,2021
Kyle Kuzma,-0.081,-0.298,-0.379,2021
Thanasis Antetokounmpo,-1.091,0.769,-0.322,2021
Robin Lopez,-0.648,0.294,-0.354,2021
Maurice Harkless,-0.476,0.11,-0.366,2021
Terrence Ross,0.454,-0.879,-0.425,2021
Nathan Knight,-1.557,1.246,-0.311,2021
Matthew Dellavedova,0.634,-1.091,-0.458,2021
Jaden McDaniels,-0.407,-0.002,-0.409,2021
Hamidou Diallo,-0.623,0.2,-0.424,2021
Tristan Thompson,-0.758,0.341,-0.417,2021
Rodney McGruder,0.267,-0.755,-0.488,2021
Marvin Bagley III,0.089,-0.575,-0.486,2021
Romeo Langford,-2.699,2.372,-0.327,2021
Ben McLemore,1.029,-1.582,-0.553,2021
Deni Avdija,-0.563,0.102,-0.461,2021
Josh Jackson,-0.981,0.542,-0.439,2021
Lou Williams,1.332,-1.923,-0.591,2021
Grant Williams,-1.038,0.576,-0.462,2021
Isaac Bonga,-2.359,1.971,-0.388,2021
Javonte Green,-0.57,0.069,-0.501,2021
JJ Redick,1.086,-1.757,-0.67,2021
Isaiah Joe,0.903,-1.567,-0.664,2021
Mfiondu Kabengele,-1.686,1.16,-0.526,2021
Cedi Osman,0.723,-1.397,-0.674,2021
Danuel House Jr.,-0.214,-0.432,-0.647,2021
Markieff Morris,-0.498,-0.199,-0.696,2021
Jaren Jackson Jr.,0.414,-1.221,-0.807,2021
Brodric Thomas,-1.15,0.396,-0.753,2021
Sterling Brown,-0.092,-0.725,-0.817,2021
Drew Eubanks,-1.483,0.746,-0.737,2021
Wenyen Gabriel,-1.118,0.335,-0.784,2021
Moses Brown,-0.807,-0.021,-0.828,2021
Tyrese Maxey,1.179,-2.128,-0.95,2021
Elfrid Payton,-0.288,-0.584,-0.872,2021
Justin Jackson,0.525,-1.469,-0.944,2021
Amir Coffey,-0.885,0.004,-0.881,2021
Trey Lyles,-0.907,0.003,-0.904,2021
Aron Baynes,-1.772,0.873,-0.899,2021
Sindarius Thornwell,-1.437,0.517,-0.92,2021
Dylan Windler,-0.596,-0.387,-0.983,2021
Mike Scott,-0.376,-0.636,-1.012,2021
Timothe Luwawu-Cabarrot,0.579,-1.659,-1.08,2021
Malik Monk,1.353,-2.491,-1.138,2021
Brad Wanamaker,-0.635,-0.401,-1.036,2021
Lamar Stevens,-1.199,0.195,-1.004,2021
Edmond Sumner,0.709,-1.857,-1.148,2021
Jaylen Nowell,0.29,-1.451,-1.16,2021
Luke Kennard,2.444,-3.781,-1.337,2021
Brandon Goodwin,-0.132,-1.056,-1.187,2021
Gary Harris,-0.771,-0.399,-1.17,2021
Aaron Nesmith,-0.161,-1.052,-1.213,2021
James Johnson,-1.023,-0.149,-1.172,2021
Bryn Forbes,1.687,-3.033,-1.346,2021
Jarrett Culver,-2.077,0.935,-1.142,2021
Juancho Hernangomez,1.35,-2.702,-1.351,2021
Anfernee Simons,2.101,-3.504,-1.403,2021
Tyler Herro,0.752,-2.11,-1.358,2021
Devin Vassell,0.109,-1.429,-1.32,2021
Armoni Brooks,1.316,-2.727,-1.411,2021
Onyeka Okongwu,-0.569,-0.73,-1.299,2021
Frank Ntilikina,-1.77,0.486,-1.284,2021
Jalen McDaniels,0.017,-1.434,-1.417,2021
Solomon Hill,0.065,-1.56,-1.495,2021
Troy Brown Jr.,0.412,-1.932,-1.519,2021
Reggie Perry,-1.265,-0.185,-1.45,2021
Avery Bradley,-0.436,-1.133,-1.569,2021
D.J. Wilson,-1.371,-0.149,-1.52,2021
Jake Layman,-1.4,-0.131,-1.53,2021
Jalen Harris,-0.877,-0.696,-1.572,2021
E'Twaun Moore,-0.889,-0.694,-1.583,2021
Stanley Johnson,-1.838,0.276,-1.562,2021
Torrey Craig,0.302,-1.992,-1.69,2021
Harry Giles III,-1.592,-0.008,-1.6,2021
Freddie Gillespie,-1.317,-0.338,-1.655,2021
Kevin Porter Jr.,0.66,-2.549,-1.89,2021
Nico Mannion,0.584,-2.498,-1.914,2021
Quinn Cook,0.092,-2.001,-1.909,2021
JaKarr Sampson,-1.472,-0.373,-1.845,2021
P.J. Tucker,-1.269,-0.592,-1.86,2021
Trent Forrest,0.391,-2.354,-1.963,2021
Nicolo Melli,-1.069,-0.846,-1.915,2021
Isaac Okoro,-1.155,-0.797,-1.952,2021
Abdel Nader,-1.339,-0.607,-1.946,2021
Jaylen Hoard,-0.938,-1.085,-2.023,2021
Mason Jones,0.016,-2.168,-2.152,2021
Josh Green,-1.011,-1.107,-2.118,2021
Kyle Guy,0.518,-2.739,-2.221,2021
Nassir Little,0.713,-2.956,-2.244,2021
Justin Patton,-0.845,-1.309,-2.153,2021
Damian Jones,-1.212,-0.962,-2.174,2021
Carsen Edwards,0.208,-2.467,-2.26,2021
Ignas Brazdeikis,-0.461,-1.764,-2.225,2021
Damyean Dotson,-0.803,-1.421,-2.224,2021
Darius Bazley,-2.481,0.331,-2.15,2021
Bismack Biyombo,-2.6,0.442,-2.158,2021
Eric Paschall,-0.948,-1.317,-2.266,2021
Dwayne Bacon,-1.306,-1.027,-2.333,2021
Cole Anthony,-0.444,-1.973,-2.417,2021
Gary Clark,-0.953,-1.512,-2.466,2021
Charlie Brown Jr.,-1.363,-1.096,-2.459,2021
KZ Okpala,-2.049,-0.379,-2.427,2021
Keita Bates-Diop,-1.046,-1.446,-2.492,2021
Isaiah Roby,-1.685,-0.78,-2.465,2021
Shaquille Harrison,-2.263,-0.196,-2.458,2021
Chimezie Metu,-0.383,-2.204,-2.587,2021
Daniel Oturu,-1.457,-1.075,-2.531,2021
Kevin Knox II,-0.994,-1.572,-2.566,2021
Precious Achiuwa,-2.598,0.112,-2.486,2021
Jalen Smith,-1.534,-1.235,-2.769,2021
Cam Reddish,-1.106,-1.7,-2.806,2021
Markus Howard,-1.117,-1.71,-2.827,2021
Zeke Nnaji,-0.29,-2.667,-2.957,2021
Patrick Williams,-1.972,-0.913,-2.885,2021
Tyler Cook,-1.2,-1.772,-2.973,2021
Tre Jones,-0.563,-2.465,-3.027,2021
Jordan Bone,-0.519,-2.556,-3.075,2021
Lonnie Walker IV,0.013,-3.207,-3.195,2021
Jahlil Okafor,-1.924,-1.198,-3.121,2021
Justise Winslow,-3.882,0.878,-3.004,2021
Bruno Fernando,-3.01,-0.137,-3.148,2021
Justin James,-1.036,-2.249,-3.286,2021
Sean McDermott,-2.114,-1.178,-3.291,2021
Killian Hayes,-3.458,0.11,-3.348,2021
Anthony Lamb,-0.256,-3.299,-3.555,2021
Glenn Robinson III,-0.442,-3.103,-3.545,2021
R.J. Hampton,-0.728,-2.805,-3.533,2021
Chasson Randle,-1.692,-1.876,-3.567,2021
Jerome Robinson,-2.675,-0.918,-3.593,2021
Wes Iwundu,-2.891,-0.692,-3.583,2021
James Wiseman,-3.32,-0.28,-3.6,2021
Rodney Hood,-2.585,-1.066,-3.65,2021
Theo Maledon,-2.643,-1.027,-3.67,2021
Sekou Doumbouya,-1.287,-2.495,-3.782,2021
Chandler Hutchison,-3.092,-0.888,-3.981,2021
Vlatko Cancar,-1.689,-2.498,-4.187,2021
Matt Thomas,-0.023,-4.346,-4.369,2021
Aleksej Pokusevski,-3.303,-1.617,-4.92,2021
Bol Bol,-2.502,-2.686,-5.187,2021
Josh Hall,-4.286,-1.526,-5.813,2021
Nikola Jokic,8.22,2.67,10.891,2022
Giannis Antetokounmpo,6.607,2.794,9.401,2022
Stephen Curry,7.577,1.372,8.949,2022
LeBron James,6.59,2.245,8.835,2022
Kevin Durant,6.804,1.57,8.374,2022
Jayson Tatum,6.219,2.108,8.327,2022
Joel Embiid,5.391,2.585,7.976,2022
Rudy Gobert,2.721,5.199,7.92,2022
Jrue Holiday,5.215,1.713,6.928,2022
Trae Young,8.292,-1.667,6.625,2022
Kyrie Irving,7.057,-0.379,6.678,2022
Jimmy Butler,4.749,1.809,6.558,2022
Chris Paul,4.673,1.757,6.43,2022
Paul George,2.122,4.108,6.23,2022
Ja Morant,5.742,0.15,5.892,2022
Karl-Anthony Towns,5.63,0.027,5.657,2022
Mike Conley,3.993,1.752,5.745,2022
Devin Booker,5.86,-0.254,5.607,2022
James Harden,5.422,0.115,5.537,2022
Darius Garland,4.716,0.822,5.538,2022
Luka Doncic,5.858,-0.44,5.417,2022
Damian Lillard,6.339,-1.195,5.143,2022
Dejounte Murray,3.677,1.582,5.259,2022
Fred VanVleet,3.457,1.556,5.014,2022
Immanuel Quickley,4.194,0.753,4.947,2022
Isaiah Hartenstein,2.618,2.39,5.008,2022
Jose Alvarado,2.644,2.338,4.982,2022
Patrick Beverley,2.537,2.437,4.974,2022
Mike Muscala,3.022,1.882,4.904,2022
Clint Capela,2.196,2.708,4.904,2022
Al Horford,1.635,3.279,4.914,2022
Jarrett Allen,1.977,2.892,4.869,2022
Jakob Poeltl,2.855,1.929,4.784,2022
Desmond Bane,4.222,0.468,4.69,2022
Robert Williams III,1.536,3.237,4.773,2022
Pascal Siakam,3.273,1.375,4.649,2022
Bam Adebayo,1.221,3.388,4.609,2022
Anthony Davis,1.659,2.907,4.566,2022
Kristaps Porzingis,3.405,1.051,4.456,2022
Derrick White,2.157,2.304,4.461,2022
Marcus Smart,2.481,1.939,4.42,2022
Donovan Mitchell,5.485,-1.274,4.21,2022
Mikal Bridges,3.276,1.047,4.324,2022
Bradley Beal,3.198,1.056,4.253,2022
LaMelo Ball,4.182,0.001,4.184,2022
Alex Caruso,0.921,3.358,4.279,2022
Gary Payton II,1.849,2.372,4.221,2022
Miles Bridges,3.511,0.6,4.11,2022
Chris Boucher,2.741,1.408,4.149,2022
Zach LaVine,4.846,-0.862,3.984,2022
CJ McCollum,4.76,-0.788,3.972,2022
Derrick Rose,2.043,2.088,4.131,2022
Myles Turner,1.179,2.963,4.142,2022
Kyle Lowry,2.886,1.12,4.006,2022
Brook Lopez,1.131,2.958,4.089,2022
Domantas Sabonis,2.038,1.978,4.016,2022
Brandon Ingram,3.583,0.295,3.878,2022
Montrezl Harrell,3.375,0.491,3.866,2022
Bogdan Bogdanovic,4.132,-0.328,3.804,2022
Klay Thompson,3.783,0.031,3.814,2022
Jaren Jackson Jr.,1.087,2.874,3.962,2022
Dorian Finney-Smith,2.975,0.827,3.801,2022
Jalen Brunson,3.17,0.562,3.733,2022
Draymond Green,-0.027,3.946,3.919,2022
Shai Gilgeous-Alexander,4.049,-0.391,3.658,2022
Wendell Carter Jr.,1.172,2.64,3.812,2022
Jaylen Brown,2.815,0.843,3.658,2022
Franz Wagner,2.148,1.52,3.667,2022
OG Anunoby,2.04,1.543,3.584,2022
Seth Curry,3.198,0.283,3.481,2022
John Collins,1.902,1.593,3.495,2022
Steven Adams,2.734,0.677,3.411,2022
Bobby Portis,2.273,1.164,3.436,2022
D'Angelo Russell,3.968,-0.675,3.292,2022
Lonzo Ball,1.338,2.111,3.45,2022
Malcolm Brogdon,3.007,0.341,3.348,2022
Obi Toppin,2.458,0.917,3.376,2022
Dillon Brooks,1.849,1.561,3.41,2022
Mitchell Robinson,1.149,2.249,3.398,2022
Robert Covington,1.087,2.287,3.374,2022
DeMar DeRozan,4.487,-1.32,3.167,2022
Hassan Whiteside,1.43,1.913,3.343,2022
Cameron Johnson,2.531,0.741,3.272,2022
Jordan Clarkson,3.655,-0.454,3.2,2022
Matisse Thybulle,0.128,3.28,3.408,2022
Jordan Poole,3.525,-0.37,3.156,2022
Kevin Love,3.034,0.133,3.167,2022
Herbert Jones,0.84,2.446,3.286,2022
Deandre Ayton,1.741,1.475,3.216,2022
Terence Davis,2.117,1.024,3.141,2022
Khris Middleton,2.717,0.379,3.096,2022
Lauri Markkanen,3.367,-0.327,3.041,2022
Aaron Gordon,2.626,0.434,3.06,2022
Bruce Brown,1.998,1.001,2.999,2022
Max Strus,3.749,-0.858,2.891,2022
Terry Rozier,3.323,-0.431,2.892,2022
Tony Bradley,-0.18,3.271,3.091,2022
Kevon Looney,1.216,1.775,2.991,2022
Caleb Martin,1.188,1.755,2.943,2022
Paul Reed,0.874,2.056,2.93,2022
Onyeka Okongwu,1.417,1.455,2.872,2022
Jarred Vanderbilt,0.761,2.096,2.856,2022
Jae Crowder,0.609,2.23,2.839,2022
Tyus Jones,2.731,-0.025,2.706,2022
Andre Iguodala,0.47,2.366,2.836,2022
Tyrese Maxey,3.542,-0.9,2.642,2022
Jonas Valanciunas,1.631,1.109,2.74,2022
Lindy Waters III,2.457,0.226,2.683,2022
Brandon Clarke,2.032,0.673,2.705,2022
Anthony Edwards,2.991,-0.357,2.634,2022
Javonte Green,1.434,1.288,2.723,2022
DeMarcus Cousins,1.385,1.335,2.72,2022
Victor Oladipo,1.001,1.717,2.718,2022
Alec Burks,2.36,0.276,2.636,2022
Tyrese Haliburton,3.382,-0.82,2.562,2022
Anthony Gill,1.654,1.002,2.656,2022
Thaddeus Young,1.004,1.626,2.631,2022
Braxton Key,-0.548,3.219,2.671,2022
Ricky Rubio,0.394,2.206,2.6,2022
Nathan Knight,0.767,1.774,2.541,2022
Spencer Dinwiddie,2.081,0.369,2.45,2022
Jusuf Nurkic,-0.276,2.851,2.575,2022
Andrew Wiggins,0.711,1.786,2.497,2022
Gary Trent Jr.,3.414,-1.086,2.329,2022
Andre Drummond,0.601,1.895,2.496,2022
Duncan Robinson,2.197,0.188,2.385,2022
Kenrich Williams,0.879,1.583,2.461,2022
Monte Morris,2.884,-0.549,2.335,2022
Reggie Jackson,1.163,1.253,2.416,2022
Keldon Johnson,2.029,0.276,2.305,2022
Josh Hart,2.017,0.278,2.295,2022
Maxi Kleber,0.176,2.214,2.39,2022
Otto Porter Jr.,1.059,1.259,2.318,2022
Devonte' Graham,2.256,-0.013,2.243,2022
P.J. Tucker,0.638,1.676,2.315,2022
George Hill,1.037,1.234,2.271,2022
Royce O'Neale,1.147,1.103,2.25,2022
Mason Plumlee,0.312,1.967,2.279,2022
Terance Mann,1.687,0.509,2.196,2022
Jared Butler,1.955,0.206,2.161,2022
De'Anthony Melton,1.54,0.643,2.182,2022
Daniel Gafford,1.784,0.382,2.167,2022
Gordon Hayward,1.514,0.65,2.165,2022
Bones Hyland,3.203,-1.144,2.059,2022
Nassir Little,1.188,0.985,2.173,2022
